headline,clickbait_score,feature_emotional_words,feature_clickbait_phrases,feature_number_patterns,feature_question_marks,feature_exclamation_marks,feature_all_caps_words,feature_personal_pronouns,feature_starts_number,feature_ellipsis,feature_sentiment_intensity
Trump makes play for deep-blue state Reagan last won in ‘84 landslide,0.0,0,0,0,0,0,0,0,0,0,0.0
"VP Harris gets heckled during Michigan rally, forced to pause remarks: ‘Now I am speaking…’",0.6000000000000001,0,0,0,0,0,0,0,0,0,0.30000000000000004
Michelle Obama's excuse for Harris' interview questions that critics are 'picking apart',0.1,0,0,0,0,0,0,0,0,0,0.05
"Former Vatican ambassador urges Catholics to back Trump, brands Harris ‘infernal monster’",0.0,0,0,0,0,0,0,0,0,0,0.0
Vulnerable Senate Democrat suffers blow as major union makes endorsement,0.6916666666666668,0,0,0,0,0,0,0,0,0,0.3458333333333334
Bill Maher calls for Harris to pull tried-and-true tactic to ‘earn cred’ with skeptics,0.0,0,0,0,0,0,0,0,0,0,0.0
Experts warn of hidden election threat with unexpected impact on everyday Americans,8.177777777777777,4,0,0,0,0,0,0,0,0,0.08888888888888889
College football star flashes MAGA shirt after scoring touchdown on trick play,0.0,0,0,0,0,0,0,0,0,0,0.0
NBA coach takes game presser as a platform to slam presidential candidate,0.8,0,0,0,0,0,0,0,0,0,0.4
Swing state voters are asked to describe Harris in one word — and very clear pattern emerges,0.26,0,0,0,0,0,0,0,0,0,0.13
WATCH:Texas HS football game ends in an insane way,3.4,1,0,0,0,0,0,0,0,0,0.7
LISTEN NOW:Former President Trump on 'The Brian Kilmeade Show',0.0,0,0,0,0,0,0,0,0,0,0.0
Create a beautiful Thanksgiving table setting with these 9 finds,3.7,1,0,0,0,0,0,0,0,0,0.85
WATCH LIVE:‘Sunday Morning Futures with Maria Bartiromo’,0.2727272727272727,0,0,0,0,0,0,0,0,0,0.13636363636363635
City pays $1.5 million after years-long fight to take down cross,2.1555555555555554,1,0,0,0,0,0,0,0,0,0.07777777777777778
Vance flips opponent’s talking point on its head: ‘My message to Kamala Harris…’,0.0,0,0,0,0,0,0,0,0,0,0.0
Political analyst has clear-cut message for Dems in battleground state,2.0,1,0,0,0,0,0,0,0,0,0.0
Gov Ron DeSantis discusses 'massive shift' he sees in Florida's electorate,0.0,0,0,0,0,0,0,0,0,0,0.0
Political cartoons of the day,0.0,0,0,0,0,0,0,0,0,0,0.0
Battleground state autoworker’s prediction about the blue voting bloc swinging,2.0,1,0,0,0,0,0,0,0,0,0.0
The four 'dreaded' letters on airline boarding passes that travelers never want to see,4.0,2,0,0,0,0,0,0,0,0,0.0
PLAY NOW!Crosswords ♠ Word Search ♦ Crazy Crystals ♣ Stack & Match ♥ 5 Across!,5.4,1,0,0,0,2,0,0,0,0,0.2
Country music stars join forces at concert to raise staggering sum for hurricane victims,2.0,1,0,0,0,0,0,0,0,0,0.0
Costco puts shoppers on high alert with recall on popular breakfast food,2.76,1,0,0,0,0,0,0,0,0,0.38
'90s fitness icon now delivers food after losing multimillion-dollar empire,0.0,0,0,0,0,0,0,0,0,0,0.0
One of the most competitive states in high-stakes election begins early voting,0.6,0,0,0,0,0,0,0,0,0,0.3
Harris-Walz face uphill battle in separate showdown that's not the election,2.0,1,0,0,0,0,0,0,0,0,0.0
Pop culture guru makes prediction about Menendez brothers after release,0.0,0,0,0,0,0,0,0,0,0,0.0
Harris has yet to do formal press conference since emerging as Dem nominee,0.0,0,0,0,0,0,0,0,0,0,0.0
'Conclave' movie director says controversial scenes 'not a takedown of the church',3.1,1,0,0,0,0,0,0,0,0,0.55
"FOX Corporation launches donation drive for Hurricanes Helene, Milton relief efforts",0.0,0,0,0,0,0,0,0,0,0,0.0
Woman puts her own spin on viral recipe using ingredients you likely already have,4.1,1,0,0,0,0,0,1,0,0,0.3
"Test yourself on hit TV shows, sports stars and Halloween",0.0,0,0,0,0,0,0,0,0,0,0.0
‘Home Improvement’ actor in hot water for second time this year,0.25,0,0,0,0,0,0,0,0,0,0.125
Deputies arrest illegal immigrants allegedly caught looting from hurricane victims,0.43333333333333335,0,0,0,0,0,0,0,0,0,0.21666666666666667
