word,neg,neu,pos,compound
headline,0.0,1.0,0.0,0.0
Israel strikes Iran,0.556,0.444,0.0,-0.3612
Georgia election,0.0,1.0,0.0,0.0
Hoax bomb threats,1.0,0.0,0.0,-0.7964
Russian strikes Ukrainian hospital,0.455,0.545,0.0,-0.3612
World Series,0.0,1.0,0.0,0.0
Airline cracks down on ‘gate lice’,0.0,1.0,0.0,0.0
Menendez case,0.0,1.0,0.0,0.0
Scientists accidentally drilled into a volcano’s magma chamber. Now they’re going back in with hopes of finding ‘limitless’ clean energy.,0.096,0.6,0.304,0.6369
At least 126 dead and missing in massive flooding and landslides in Philippines,0.371,0.629,0.0,-0.7579
The planet’s largest lake is shrinking fast. Experts fear it may never recover,0.211,0.789,0.0,-0.4939
A rare rainfall sparks flooding in one of the driest places on Earth,0.0,1.0,0.0,0.0
Vance insists Trump’s ‘enemy from within’ comments weren’t directed at political rivals,0.0,1.0,0.0,0.0
"For Trump, today’s MSG rally signifies more than just a campaign stop",0.18,0.82,0.0,-0.296
Where the candidates will be today,0.0,1.0,0.0,0.0
What is the ‘red mirage’ or the ‘blue shift’?,0.0,1.0,0.0,0.0
Netanyahu says Israel ‘severely damaged’ Iranian defenses in first comment on strikes,0.176,0.704,0.12,-0.2023
Retired colonel explains significance of Israel’s strike against Iran,0.142,0.66,0.198,0.1531
Catch up on today’s global news,0.0,1.0,0.0,0.0
This teen became the youngest person to summit the world’s highest peaks. Now he wants others to follow in his footsteps,0.0,1.0,0.0,0.0
Criminals are looting millions from ATMs in Europe. Here’s why Germany is a prime target,0.222,0.778,0.0,-0.5719
Airline cracks down on ‘gate lice’ who skip the line,0.0,1.0,0.0,0.0
Witches walk among us. They’re not like the fictional ones you grew up with,0.14,0.86,0.0,-0.2755
Oldest person in the US dies at 115. This was her secret to longevity,0.0,1.0,0.0,0.0
Georgia’s pro-EU opposition cries foul as ruling party claims election victory,0.188,0.625,0.188,0.0
Britain is skirting the sidelines of the US election - but the ‘Special Relationship’ is getting complicated,0.0,1.0,0.0,0.0
Iceland embraced a shorter work week. Here’s how it turned out,0.0,1.0,0.0,0.0
Woman who zipped boyfriend in suitcase until he died found guilty of second-degree murder,0.502,0.498,0.0,-0.9022
Japan’s new PM faces major test with an election just weeks after taking office,0.0,1.0,0.0,0.0
Hear what Trump told Joe Rogan his plans are for RFK Jr.,0.0,1.0,0.0,0.0
Scientists say skeletal remains found in castle well belong to figure from 800-year-old saga,0.0,0.861,0.139,0.2732
Lamine Yamal makes history as Barcelona hammers Real Madrid in El Clásico,0.0,1.0,0.0,0.0
Why Olivia Munn chose to show her mastectomy scars in new Skims campaign,0.0,1.0,0.0,0.0
"124 killed as Sudanese paramilitary group attacks village, doctors and activists say",0.425,0.575,0.0,-0.8126
Bus crash in central Mexico kills 19 people,0.508,0.492,0.0,-0.7351
Commonwealth leaders say ‘time has come’ for discussion on UK slavery reparations,0.304,0.696,0.0,-0.7003
Ex-swimsuit model describes alleged encounter with Trump and Jeffrey Epstein,0.0,1.0,0.0,0.0
"Big Tech CEOs are calling up Trump, seeking to rekindle their relationship with the former president ahead of Election Day",0.0,1.0,0.0,0.0
‘That fight to survive’: Dock tragedy is latest chapter in Gullah Geechee community’s long struggle,0.437,0.563,0.0,-0.8519
New abortion ad features mother who says she was forced to deliver a baby doctors knew would die,0.315,0.685,0.0,-0.7845
Why airlifting rhinos upside down is helping populations bounce back,0.0,0.804,0.196,0.296
Archaeologists uncover tiny house in Pompeii with intact elaborate frescoes,0.0,0.833,0.167,0.2023
He served with the US Army in Iraq. Now he’s one of Asia’s top chefs and a Netflix ‘Culinary Class Wars’ judge,0.0,0.917,0.083,0.2023
An engineer in Florida is searching for the owner of a ring discovered in hurricane wreckage,0.0,1.0,0.0,0.0
Lizzo’s Halloween costume draws inspiration from infamous ‘South Park’ episode,0.0,0.726,0.274,0.5267
Groundbreaking telescope reveals first piece of new cosmic map,0.0,1.0,0.0,0.0
Dodgers star Shohei Ohtani suffers apparent shoulder injury during Game 2 of the World Series,0.33,0.67,0.0,-0.7096
She connected on Instagram with a guy who lived in another country. Then they decided to meet up,0.0,1.0,0.0,0.0
Stunning fossil trapped in amber reveals previously unknown species that lived during the time of dinosaurs,0.17,0.7,0.13,-0.2023
Lost Silk Road cities mapped using remote sensing,0.247,0.753,0.0,-0.3182
A giant meteorite boiled the oceans 3.2 billion years ago. Scientists say it was a ‘fertilizer bomb’ for life,0.0,1.0,0.0,0.0
Fossils show what world’s largest arthropod looked like,0.0,0.737,0.263,0.3612
Peer into the underwater caves where life thrives,0.0,1.0,0.0,0.0
Europe’s secret season for travel starts now,0.0,1.0,0.0,0.0
He served with the US Army in Iraq. Now he’s a 3-star Michelin chef,0.0,1.0,0.0,0.0
How the full English breakfast divides Britain,0.0,1.0,0.0,0.0
"Tired of California, he moved to Colombia: ‘I feel safer here’",0.197,0.612,0.19,-0.0258
The magical white stone wonderland with effervescent bathing pools,0.0,1.0,0.0,0.0
What the rising popularity of Yemeni coffee shops says about third places,0.0,0.78,0.22,0.4767
Jury awards Apple $250 in design patent lawsuit against Masimo,0.147,0.62,0.233,0.2732
"Why Nike, Starbucks and Boeing have lost their magic",0.223,0.777,0.0,-0.3182
Amazon Prime wants to help you save on gas,0.0,0.441,0.559,0.765
US businesses are suffering from election uncertainty — and it could be hurting the economy,0.427,0.573,0.0,-0.802
Keurig Dr Pepper will buy energy drink maker Ghost for more than $1 billion,0.14,0.732,0.128,-0.0516
"These are 2024’s top trending Halloween costumes, according to Google",0.0,0.833,0.167,0.2023
Zendaya pays tribute to Cher in shimmering vintage gown,0.0,1.0,0.0,0.0
"Painting by AI robot Ai-Da could fetch more than $120,000 at auction",0.0,1.0,0.0,0.0
Striking photos document environmental decay on world’s largest lake,0.252,0.748,0.0,-0.4019
"The painter whose erotic, glamorous portraits made her a belated art icon",0.0,0.752,0.248,0.5106
"Super-thin skyscraper, just one apartment wide, planned for Dubai",0.0,1.0,0.0,0.0
"Meet Rojé Stona, an Olympic track and field champion with dreams of playing in the NFL",0.0,0.607,0.393,0.8126
Can New York Yankees recover from last-gasp World Series Game 1 loss against Los Angeles Dodgers in Game 2?,0.119,0.881,0.0,-0.3182
Inter Miami beats Atlanta United in Lionel Messi’s MLS playoff debut,0.0,0.781,0.219,0.4215
Los Angeles Dodgers’ Freddie Freeman launches himself into history with dramatic grand slam to win Game 1 of the World Series,0.093,0.569,0.338,0.7845
Miami Dolphins quarterback Tua Tagovailoa cleared to return and will play Sunday against Arizona Cardinals,0.0,0.774,0.226,0.4215
USF men’s head basketball coach Amir Abdur-Rahim dead at 43,0.323,0.677,0.0,-0.6486
"In staging a rally at Madison Square Garden, Trump is betting on his own showmanship and celebrity",0.0,1.0,0.0,0.0
Trump says he’s open to eliminating income taxes as he pushes sweeping tariff proposals on podcast with Joe Rogan,0.0,1.0,0.0,0.0
Chinese hackers targeted Trump and Vance’s phone data,0.0,1.0,0.0,0.0
US intelligence assesses Russian operatives behind fake video showing Pennsylvania ballots being destroyed,0.325,0.515,0.16,-0.4939
"NY Republican in critical House race spent huge sums of campaign cash on steakhouses, booze, Ubers and a foreign hostel",0.106,0.787,0.106,0.0
