headline,word_count,char_count,avg_word_length,complex_words,nouns,verbs,adjectives,prepositions,noun_verb_ratio
Israel strikes Iran,3,19,6.333333333333333,1,3,0,0,0,3.0
Georgia election,2,16,8.0,2,2,0,0,0,2.0
Hoax bomb threats,3,17,5.666666666666667,1,3,0,0,0,3.0
Russian strikes Ukrainian hospital,4,34,8.5,4,2,0,2,0,2.0
World Series,2,12,6.0,0,2,0,0,0,2.0
Airline cracks down on ‘gate lice’,8,34,4.25,1,5,0,1,1,5.0
Menendez case,2,13,6.5,1,2,0,0,0,2.0
Scientists accidentally drilled into a volcano’s magma chamber. Now they’re going back in with hopes of finding ‘limitless’ clean energy.,28,137,4.892857142857143,7,10,5,2,4,2.0
At least 126 dead and missing in massive flooding and landslides in Philippines,13,79,6.076923076923077,5,3,1,3,3,3.0
The planet’s largest lake is shrinking fast. Experts fear it may never recover,16,78,4.875,4,4,4,1,0,1.0
A rare rainfall sparks flooding in one of the driest places on Earth,13,68,5.230769230769231,2,4,1,2,3,4.0
Vance insists Trump’s ‘enemy from within’ comments weren’t directed at political rivals,18,87,4.833333333333333,4,9,3,3,3,3.0
"For Trump, today’s MSG rally signifies more than just a campaign stop",15,69,4.6,2,8,1,1,2,8.0
Where the candidates will be today,6,34,5.666666666666667,1,2,1,0,0,2.0
What is the ‘red mirage’ or the ‘blue shift’?,14,45,3.2142857142857144,0,5,1,3,0,5.0
Netanyahu says Israel ‘severely damaged’ Iranian defenses in first comment on strikes,14,85,6.071428571428571,7,7,2,2,2,3.5
Retired colonel explains significance of Israel’s strike against Iran,11,69,6.2727272727272725,5,7,2,0,2,3.5
Catch up on today’s global news,8,31,3.875,0,4,1,1,1,4.0
This teen became the youngest person to summit the world’s highest peaks. Now he wants others to follow in his footsteps,24,120,5.0,3,8,4,2,1,2.0
Criminals are looting millions from ATMs in Europe. Here’s why Germany is a prime target,18,88,4.888888888888889,4,7,3,2,2,2.3333333333333335
Airline cracks down on ‘gate lice’ who skip the line,12,52,4.333333333333333,1,6,1,1,1,6.0
Witches walk among us. They’re not like the fictional ones you grew up with,17,75,4.411764705882353,2,2,3,2,3,0.6666666666666666
Oldest person in the US dies at 115. This was her secret to longevity,15,69,4.6,1,3,2,2,2,1.5
Georgia’s pro-EU opposition cries foul as ruling party claims election victory,13,78,6.0,4,8,3,1,1,2.6666666666666665
Britain is skirting the sidelines of the US election - but the ‘Special Relationship’ is getting complicated,19,108,5.684210526315789,8,8,5,0,1,1.6
Iceland embraced a shorter work week. Here’s how it turned out,14,62,4.428571428571429,3,4,2,1,0,2.0
Woman who zipped boyfriend in suitcase until he died found guilty of second-degree murder,14,89,6.357142857142857,3,3,4,2,3,0.75
Japan’s new PM faces major test with an election just weeks after taking office,16,79,4.9375,1,7,3,2,2,2.3333333333333335
Hear what Trump told Joe Rogan his plans are for RFK Jr.,13,56,4.3076923076923075,0,6,3,0,1,2.0
Scientists say skeletal remains found in castle well belong to figure from 800-year-old saga,14,92,6.571428571428571,4,4,3,2,2,1.3333333333333333
Lamine Yamal makes history as Barcelona hammers Real Madrid in El Clásico,12,73,6.083333333333333,4,9,1,0,2,9.0
Why Olivia Munn chose to show her mastectomy scars in new Skims campaign,13,72,5.538461538461538,2,5,2,2,1,2.5
"124 killed as Sudanese paramilitary group attacks village, doctors and activists say",13,84,6.461538461538462,6,5,2,2,1,2.5
Bus crash in central Mexico kills 19 people,8,43,5.375,1,4,1,1,1,4.0
Commonwealth leaders say ‘time has come’ for discussion on UK slavery reparations,14,81,5.785714285714286,5,8,3,1,2,2.6666666666666665
Ex-swimsuit model describes alleged encounter with Trump and Jeffrey Epstein,10,76,7.6,6,7,1,0,1,7.0
"Big Tech CEOs are calling up Trump, seeking to rekindle their relationship with the former president ahead of Election Day",21,122,5.809523809523809,6,7,4,2,2,1.75
‘That fight to survive’: Dock tragedy is latest chapter in Gullah Geechee community’s long struggle,20,99,4.95,6,11,3,1,1,3.6666666666666665
New abortion ad features mother who says she was forced to deliver a baby doctors knew would die,18,96,5.333333333333333,4,6,7,0,0,0.8571428571428571
Why airlifting rhinos upside down is helping populations bounce back,10,68,6.8,3,3,3,0,0,1.0
Archaeologists uncover tiny house in Pompeii with intact elaborate frescoes,10,75,7.5,5,5,0,2,2,5.0
He served with the US Army in Iraq. Now he’s one of Asia’s top chefs and a Netflix ‘Culinary Class Wars’ judge,29,110,3.793103448275862,2,13,3,1,3,4.333333333333333
An engineer in Florida is searching for the owner of a ring discovered in hurricane wreckage,16,92,5.75,6,6,3,0,4,2.0
Lizzo’s Halloween costume draws inspiration from infamous ‘South Park’ episode,14,78,5.571428571428571,5,10,1,2,1,10.0
Groundbreaking telescope reveals first piece of new cosmic map,9,62,6.888888888888889,3,4,1,3,1,4.0
Dodgers star Shohei Ohtani suffers apparent shoulder injury during Game 2 of the World Series,15,93,6.2,4,8,1,2,2,8.0
She connected on Instagram with a guy who lived in another country. Then they decided to meet up,19,96,5.052631578947368,5,3,4,0,3,0.75
Stunning fossil trapped in amber reveals previously unknown species that lived during the time of dinosaurs,16,107,6.6875,7,6,3,1,3,2.0
Lost Silk Road cities mapped using remote sensing,8,49,6.125,1,4,4,0,0,1.0
A giant meteorite boiled the oceans 3.2 billion years ago. Scientists say it was a ‘fertilizer bomb’ for life,22,109,4.954545454545454,4,8,3,2,1,2.6666666666666665
Fossils show what world’s largest arthropod looked like,10,55,5.5,3,4,3,1,1,1.3333333333333333
Peer into the underwater caves where life thrives,8,49,6.125,2,4,1,0,1,4.0
Europe’s secret season for travel starts now,9,44,4.888888888888889,0,7,0,0,1,7.0
He served with the US Army in Iraq. Now he’s a 3-star Michelin chef,17,67,3.9411764705882355,1,5,3,1,2,1.6666666666666667
How the full English breakfast divides Britain,7,46,6.571428571428571,4,4,0,1,0,4.0
"Tired of California, he moved to Colombia: ‘I feel safer here’",15,62,4.133333333333334,2,4,3,0,1,1.3333333333333333
The magical white stone wonderland with effervescent bathing pools,9,66,7.333333333333333,4,4,0,3,1,4.0
What the rising popularity of Yemeni coffee shops says about third places,12,73,6.083333333333333,1,5,2,1,2,2.5
Jury awards Apple $250 in design patent lawsuit against Masimo,11,62,5.636363636363637,2,7,0,0,2,7.0
"Why Nike, Starbucks and Boeing have lost their magic",10,52,5.2,1,4,2,0,0,2.0
Amazon Prime wants to help you save on gas,9,42,4.666666666666667,0,3,3,0,1,1.0
US businesses are suffering from election uncertainty — and it could be hurting the economy,15,91,6.066666666666666,6,5,4,1,1,1.25
Keurig Dr Pepper will buy energy drink maker Ghost for more than $1 billion,15,75,5.0,1,7,1,1,2,7.0
"These are 2024’s top trending Halloween costumes, according to Google",13,69,5.3076923076923075,4,5,3,1,0,1.6666666666666667
Zendaya pays tribute to Cher in shimmering vintage gown,9,55,6.111111111111111,4,5,2,0,1,2.5
"Painting by AI robot Ai-Da could fetch more than $120,000 at auction",13,68,5.230769230769231,3,4,2,1,3,2.0
Striking photos document environmental decay on world’s largest lake,11,68,6.181818181818182,4,6,2,2,1,3.0
"The painter whose erotic, glamorous portraits made her a belated art icon",13,73,5.615384615384615,4,4,1,3,0,4.0
"Super-thin skyscraper, just one apartment wide, planned for Dubai",11,65,5.909090909090909,4,3,1,2,1,3.0
"Meet Rojé Stona, an Olympic track and field champion with dreams of playing in the NFL",17,86,5.0588235294117645,3,9,1,0,3,9.0
Can New York Yankees recover from last-gasp World Series Game 1 loss against Los Angeles Dodgers in Game 2?,20,107,5.35,6,11,1,1,3,11.0
Inter Miami beats Atlanta United in Lionel Messi’s MLS playoff debut,13,68,5.230769230769231,2,10,2,0,1,5.0
Los Angeles Dodgers’ Freddie Freeman launches himself into history with dramatic grand slam to win Game 1 of the World Series,22,125,5.681818181818182,8,11,2,2,3,5.5
Miami Dolphins quarterback Tua Tagovailoa cleared to return and will play Sunday against Arizona Cardinals,15,106,7.066666666666666,7,8,3,0,1,2.6666666666666665
USF men’s head basketball coach Amir Abdur-Rahim dead at 43,12,59,4.916666666666667,2,8,1,1,1,8.0
"In staging a rally at Madison Square Garden, Trump is betting on his own showmanship and celebrity",18,98,5.444444444444445,5,7,3,1,3,2.3333333333333335
Trump says he’s open to eliminating income taxes as he pushes sweeping tariff proposals on podcast with Joe Rogan,21,113,5.380952380952381,4,8,4,3,3,2.0
Chinese hackers targeted Trump and Vance’s phone data,10,53,5.3,3,6,2,1,0,3.0
US intelligence assesses Russian operatives behind fake video showing Pennsylvania ballots being destroyed,13,106,8.153846153846153,8,6,3,3,1,2.0
"NY Republican in critical House race spent huge sums of campaign cash on steakhouses, booze, Ubers and a foreign hostel",22,119,5.409090909090909,5,10,1,4,3,10.0
More straight couples are calling each other partner. Here’s why,13,64,4.923076923076923,4,3,2,4,0,1.5
"How long can you stand like a flamingo? The answer may reflect your age, new study says",19,87,4.578947368421052,2,4,3,2,1,1.3333333333333333
What experts say about taking psilocybin as an alternative treatment for depression,12,83,6.916666666666667,5,4,2,1,3,2.0
5 ways to support your friends with cancer,8,42,5.25,2,3,1,0,1,3.0
Does your teen consume protein supplements? Here’s what experts say,13,67,5.153846153846154,4,3,4,2,0,0.75
X changed its terms of service to let its AI train on everyone’s posts. Now users are up in arms,23,96,4.173913043478261,3,8,3,2,3,2.6666666666666665
Elon Musk says he’ll fix the government under Trump. His track record paints a different picture,19,96,5.052631578947368,3,7,3,2,2,2.3333333333333335
Meta fires employees for spending food allowances on personal items like acne pads and wine glasses,16,99,6.1875,5,10,0,2,3,10.0
Swiping right ahead of the election: Popular dating apps have new features to show off political views,18,102,5.666666666666667,5,4,4,4,1,1.0
Mind-bending mirrors have appeared in the desert,7,48,6.857142857142857,3,2,2,1,1,1.0
Lions prowl South Africa’s ‘wildest golf course’,11,48,4.363636363636363,1,8,2,1,0,4.0
Inside Qatar’s ‘city of the future’,10,35,3.5,0,6,1,0,2,6.0
These colorful artworks are made from folded paper,8,50,6.25,2,2,2,2,1,1.0
Inside Michael Jordan’s slice of paradise,8,41,5.125,2,5,0,1,2,5.0
Wildlife photographer’s award-winning images,6,44,7.333333333333333,3,2,0,3,0,2.0
"The rape claims that tie the Menendez case to Menudo: ‘There might be other victims,’ doc producer says",22,103,4.681818181818182,3,8,5,1,1,1.6
"Military investigation into incident during Trump’s controversial Arlington Cemetery still ongoing, Army report says",17,116,6.823529411764706,7,8,3,2,2,2.6666666666666665
"Two $140,000 tickets for 12-minute space trip sell immediately",10,62,6.2,4,3,1,1,1,3.0
Kate Bush is ‘very keen’ to make a new album,12,44,3.6666666666666665,0,4,2,3,0,2.0
"Hillary Clinton says Trump is ‘more unhinged, more unstable’ than in 2016",15,73,4.866666666666666,4,4,2,2,2,2.0
Former CEO of WWE sued for allegedly enabling sexual abuse,10,58,5.8,2,4,2,1,2,2.0
Miami Dolphins quarterback cleared to return and will play against Arizona Cardinals,12,84,7.0,6,4,3,0,1,1.3333333333333333
"Tom Holland and Zendaya have read a ‘Spider-Man 4’ script, and the movie comes out in 2026",20,90,4.5,3,5,3,3,1,1.6666666666666667
Nicole Scherzinger ‘will forever cherish and treasure the time’ with Liam Payne,14,79,5.642857142857143,4,7,2,1,1,3.5
World’s best bars for 2024,7,26,3.7142857142857144,0,4,0,1,1,4.0
