headline,word_count,char_count,avg_word_length,complex_words,nouns,verbs,adjectives,prepositions,noun_verb_ratio
Trump makes play for deep-blue state Reagan last won in ‘84 landslide,13,69,5.3076923076923075,2,5,2,3,2,2.5
"VP Harris gets heckled during Michigan rally, forced to pause remarks: ‘Now I am speaking…’",19,91,4.7894736842105265,4,6,5,1,1,1.2
Michelle Obama's excuse for Harris' interview questions that critics are 'picking apart',15,88,5.866666666666666,5,7,2,0,2,3.5
"Former Vatican ambassador urges Catholics to back Trump, brands Harris ‘infernal monster’",15,89,5.933333333333334,5,8,3,2,0,2.6666666666666665
Vulnerable Senate Democrat suffers blow as major union makes endorsement,10,72,7.2,4,5,2,2,1,2.5
Bill Maher calls for Harris to pull tried-and-true tactic to ‘earn cred’ with skeptics,16,86,5.375,2,6,4,2,2,1.5
Experts warn of hidden election threat with unexpected impact on everyday Americans,12,83,6.916666666666667,5,6,0,3,3,6.0
College football star flashes MAGA shirt after scoring touchdown on trick play,12,78,6.5,5,9,1,0,2,9.0
NBA coach takes game presser as a platform to slam presidential candidate,12,73,6.083333333333333,4,6,2,1,1,3.0
Swing state voters are asked to describe Harris in one word — and very clear pattern emerges,17,92,5.411764705882353,3,7,4,1,1,1.75
WATCH:Texas HS football game ends in an insane way,11,50,4.545454545454546,1,7,1,0,1,7.0
LISTEN NOW:Former President Trump on 'The Brian Kilmeade Show',12,62,5.166666666666667,2,8,0,0,1,8.0
Create a beautiful Thanksgiving table setting with these 9 finds,10,64,6.4,3,3,2,1,1,1.5
WATCH LIVE:‘Sunday Morning Futures with Maria Bartiromo’,11,56,5.090909090909091,3,8,0,1,1,8.0
City pays $1.5 million after years-long fight to take down cross,12,64,5.333333333333333,2,3,2,1,1,1.5
Vance flips opponent’s talking point on its head: ‘My message to Kamala Harris…’,18,80,4.444444444444445,4,10,2,1,1,5.0
Political analyst has clear-cut message for Dems in battleground state,10,70,7.0,5,5,1,2,2,5.0
Gov Ron DeSantis discusses 'massive shift' he sees in Florida's electorate,13,74,5.6923076923076925,5,6,2,1,1,3.0
Political cartoons of the day,5,29,5.8,2,2,0,1,1,2.0
Battleground state autoworker’s prediction about the blue voting bloc swinging,12,78,6.5,4,9,0,1,1,9.0
The four 'dreaded' letters on airline boarding passes that travelers never want to see,15,86,5.733333333333333,5,5,3,0,2,1.6666666666666667
PLAY NOW!Crosswords ♠ Word Search ♦ Crazy Crystals ♣ Stack & Match ♥ 5 Across!,18,78,4.333333333333333,2,12,1,0,1,12.0
Country music stars join forces at concert to raise staggering sum for hurricane victims,14,88,6.285714285714286,5,8,3,0,2,2.6666666666666665
Costco puts shoppers on high alert with recall on popular breakfast food,12,72,6.0,3,6,1,2,3,6.0
'90s fitness icon now delivers food after losing multimillion-dollar empire,10,75,7.5,3,4,2,2,1,2.0
One of the most competitive states in high-stakes election begins early voting,12,78,6.5,3,3,1,3,2,3.0
Harris-Walz face uphill battle in separate showdown that's not the election,12,75,6.25,4,4,1,3,1,4.0
Pop culture guru makes prediction about Menendez brothers after release,10,71,7.1,5,6,1,1,2,6.0
Harris has yet to do formal press conference since emerging as Dem nominee,13,74,5.6923076923076925,3,5,3,1,2,1.6666666666666667
'Conclave' movie director says controversial scenes 'not a takedown of the church',14,82,5.857142857142857,4,5,1,1,1,5.0
"FOX Corporation launches donation drive for Hurricanes Helene, Milton relief efforts",12,84,7.0,5,9,1,0,1,9.0
Woman puts her own spin on viral recipe using ingredients you likely already have,14,81,5.785714285714286,2,4,4,2,1,1.0
"Test yourself on hit TV shows, sports stars and Halloween",11,57,5.181818181818182,2,7,0,0,1,7.0
‘Home Improvement’ actor in hot water for second time this year,13,63,4.846153846153846,1,7,0,3,2,7.0
Deputies arrest illegal immigrants allegedly caught looting from hurricane victims,10,82,8.2,7,4,3,1,1,1.3333333333333333
Bill Murray's former home in swanky star-studded enclave hits the market,12,72,6.0,2,5,1,3,1,5.0
"Michigan, Michigan State players brawl after game: 'Lil’ bro stay doing lil’ bro things'",19,88,4.631578947368421,3,11,2,1,1,5.5
Zach Bryan backlash over breakup is latest controversy after arrest,10,67,6.7,3,6,1,1,2,6.0
Trump campaign rips Harris for misleading supporters with Beyoncé: ‘Lied to build crowd’,16,88,5.5,4,7,5,0,2,1.4
Prince William publicly mentions Prince Harry for first time in recent memory,12,77,6.416666666666667,3,7,0,2,2,7.0
"After strikes, Israel warns Iran what will happen if it escalates conflict again",14,80,5.714285714285714,3,4,3,0,2,1.3333333333333333
Child-abusing mommy blogger's daughter warns about posting kids' pictures online,12,80,6.666666666666667,5,5,3,1,1,1.6666666666666667
Lizzo makes a point with Halloween costume after denying taking weight loss drug,13,80,6.153846153846154,3,6,3,1,2,2.0
"Mahomes is already ‘No. 2 in the GOAT conversation,’ former NFL star says",17,73,4.294117647058823,3,6,2,3,1,3.0
Livvy Dunne reflects on watching Simone Biles in person at Olympics,11,67,6.090909090909091,3,6,2,0,3,3.0
Fox News brings Democracy 2024 to the sky with CGI!,11,51,4.636363636363637,1,5,1,0,1,5.0
"ANTISEMITISM EXPOSED:Truck ramming attack near Israeli army base leaves 1 dead, dozens injured",16,94,5.875,5,8,3,1,1,2.6666666666666665
FOX Nation Patriot Awards moves to New York with tickets now on sale,13,68,5.230769230769231,2,8,1,0,2,8.0
Another tropical storm could develop in Caribbean Sea after Halloween,10,69,6.9,5,4,1,1,2,4.0
"Meet the American who invented the hard hat, a symbol of our nation's working class",17,83,4.882352941176471,3,6,2,1,1,3.0
"On this day in history, Teddy Roosevelt is born in New York City",14,64,4.571428571428571,2,7,2,0,3,3.5
Shaq’s comments to Angel Reese about her tiny shorts has internet talking,14,73,5.214285714285714,3,7,3,1,1,2.3333333333333335
Facial recognition glasses turn everyday life into creepy privacy nightmare,10,75,7.5,5,5,1,3,1,5.0
"KITCHEN CABINET:Delicious recipes, surprising power foods & juicy secrets to eating better",15,90,6.0,6,8,2,1,0,4.0
"VACATION MODE:Discover your next getaway, travel hacks & expert recommendations",13,79,6.076923076923077,4,6,1,2,0,6.0
"PICTURE OF HEALTH:Doctors on call for you, tips to staying fit & key warning signs",18,82,4.555555555555555,4,8,1,2,2,8.0
FUN FACTS:Bees can fly higher than Mount Everest,10,48,4.8,1,4,1,2,1,4.0
Fox Nation,2,10,5.0,0,1,0,0,0,1.0
Features & Faces,3,16,5.333333333333333,1,2,0,0,0,2.0
Strength in Numbers: Reno Community Unites In Support of Nevada Women's Volleyball | Alejandro Avila,17,100,5.882352941176471,6,12,0,0,3,12.0
Donald Trump Makes Stunning UFO Claim During Joe Rogan Interview: WATCH,12,71,5.916666666666667,2,10,0,0,1,10.0
"Skyler Simpson Is A Cowboys Cheerleader For Halloween, Xandra Pohl Enjoys Fall In Miami & The Grills Are Hot",20,108,5.4,4,14,1,0,2,14.0
Transgender Golfer Hailey Davidson Fails To Earn LPGA Card But Does Earn Status On Women's Epson Tour,18,101,5.611111111111111,2,14,0,0,1,14.0
Houston residents react to Kamala Harris' visit to Texas alongside Beyoncé days before Election Day,16,99,6.1875,5,10,1,0,1,10.0
Nevada voters reveal their prediction for which presidential candidate will win 'very close race',15,97,6.466666666666667,3,5,2,2,1,2.5
Ex-Aurora resident and forever Dem forced to flee gang violence says she's voting Republican going forward,17,106,6.235294117647059,6,6,5,2,0,1.2
'She hasn't done anything': Nevada voters frustrated with Biden-Harris border policy as election looms,17,102,6.0,4,9,3,0,2,3.0
Philly's firefighters union backs Bob Casey's rival in Senate race,12,66,5.5,1,9,0,0,1,9.0
Harris' polling in NYC is lowest in decades for Democratic nominee: NYT poll,15,76,5.066666666666666,4,7,1,2,3,7.0
What is landlord insurance? How coverage could play into a squatter situation,13,77,5.923076923076923,5,5,2,1,1,2.5
"On this day in history, October 26, 1825, Erie Canal opens, transforming American infrastructure, commerce",20,106,5.3,6,7,2,1,2,3.5
Young voter turned off by Harris' 'pandering': Seems like abortion is 'only thing I'm allowed to care about',23,108,4.695652173913044,3,6,6,1,3,1.0
"Trump on track for 'narrow landslide' victory, Kellyanne Conway predicts",12,72,6.0,5,8,0,0,2,8.0
SEAN HANNITY: Democrats have failed Americans,7,45,6.428571428571429,3,4,2,0,0,2.0
Voters at Atlanta barbershop not sold on VP Harris' economic pitch: 'I don't need a handout',21,92,4.380952380952381,4,7,3,1,2,2.3333333333333335
