headline,clickbait_score,feature_emotional_words,feature_clickbait_phrases,feature_number_patterns,feature_question_marks,feature_exclamation_marks,feature_all_caps_words,feature_personal_pronouns,feature_starts_number,feature_ellipsis,feature_sentiment_intensity
Israel strikes Iran,0.0,0,0,0,0,0,0,0,0,0,0.0
Georgia election,0.0,0,0,0,0,0,0,0,0,0,0.0
Hoax bomb threats,2.0,1,0,0,0,0,0,0,0,0,0.0
Russian strikes Ukrainian hospital,0.0,0,0,0,0,0,0,0,0,0,0.0
World Series,0.0,0,0,0,0,0,0,0,0,0,0.0
Airline cracks down on ‘gate lice’,0.3111111111111111,0,0,0,0,0,0,0,0,0,0.15555555555555556
Menendez case,0.0,0,0,0,0,0,0,0,0,0,0.0
Scientists accidentally drilled into a volcano’s magma chamber. Now they’re going back in with hopes of finding ‘limitless’ clean energy.,0.3666666666666667,0,0,0,0,0,0,0,0,0,0.18333333333333335
At least 126 dead and missing in massive flooding and landslides in Philippines,0.35,0,0,0,0,0,0,0,0,0,0.175
The planet’s largest lake is shrinking fast. Experts fear it may never recover,4.4,2,0,0,0,0,0,0,0,0,0.2
A rare rainfall sparks flooding in one of the driest places on Earth,0.6,0,0,0,0,0,0,0,0,0,0.3
Vance insists Trump’s ‘enemy from within’ comments weren’t directed at political rivals,0.0,0,0,0,0,0,0,0,0,0,0.0
"For Trump, today’s MSG rally signifies more than just a campaign stop",2.5,0,0,1,0,0,0,0,0,0,0.5
Where the candidates will be today,0.0,0,0,0,0,0,0,0,0,0,0.0
What is the ‘red mirage’ or the ‘blue shift’?,1.0,0,0,0,1,0,0,0,0,0,0.0
Netanyahu says Israel ‘severely damaged’ Iranian defenses in first comment on strikes,2.5,1,0,0,0,0,0,0,0,0,0.25
Retired colonel explains significance of Israel’s strike against Iran,0.0,0,0,0,0,0,0,0,0,0,0.0
Catch up on today’s global news,0.0,0,0,0,0,0,0,0,0,0,0.0
This teen became the youngest person to summit the world’s highest peaks. Now he wants others to follow in his footsteps,1.7,0,0,1,0,0,0,0,0,0,0.1
