word,neg,neu,pos,compound
headline,0.0,1.0,0.0,0.0
Trump makes play for deep-blue state Reagan last won in ‘84 landslide,0.0,0.621,0.379,0.7269
"VP Harris gets heckled during Michigan rally, forced to pause remarks: ‘Now I am speaking…’",0.188,0.812,0.0,-0.4588
Michelle Obama's excuse for Harris' interview questions that critics are 'picking apart',0.163,0.741,0.096,-0.2263
"Former Vatican ambassador urges Catholics to back Trump, brands Harris ‘infernal monster’",0.0,1.0,0.0,0.0
Vulnerable Senate Democrat suffers blow as major union makes endorsement,0.35,0.49,0.161,-0.4019
Bill Maher calls for Harris to pull tried-and-true tactic to ‘earn cred’ with skeptics,0.097,0.903,0.0,-0.1027
Experts warn of hidden election threat with unexpected impact on everyday Americans,0.324,0.676,0.0,-0.5859
College football star flashes MAGA shirt after scoring touchdown on trick play,0.088,0.735,0.176,0.296
NBA coach takes game presser as a platform to slam presidential candidate,0.206,0.794,0.0,-0.3818
Swing state voters are asked to describe Harris in one word — and very clear pattern emerges,0.0,0.838,0.162,0.4391
WATCH:Texas HS football game ends in an insane way,0.252,0.748,0.0,-0.4019
LISTEN NOW:Former President Trump on 'The Brian Kilmeade Show',0.0,1.0,0.0,0.0
Create a beautiful Thanksgiving table setting with these 9 finds,0.0,0.5,0.5,0.7184
WATCH LIVE:‘Sunday Morning Futures with Maria Bartiromo’,0.0,1.0,0.0,0.0
City pays $1.5 million after years-long fight to take down cross,0.206,0.794,0.0,-0.3818
Vance flips opponent’s talking point on its head: ‘My message to Kamala Harris…’,0.0,1.0,0.0,0.0
Political analyst has clear-cut message for Dems in battleground state,0.231,0.769,0.0,-0.4019
Gov Ron DeSantis discusses 'massive shift' he sees in Florida's electorate,0.0,1.0,0.0,0.0
Political cartoons of the day,0.0,1.0,0.0,0.0
Battleground state autoworker’s prediction about the blue voting bloc swinging,0.231,0.769,0.0,-0.4019
The four 'dreaded' letters on airline boarding passes that travelers never want to see,0.086,0.914,0.0,-0.0572
PLAY NOW!Crosswords ♠ Word Search ♦ Crazy Crystals ♣ Stack & Match ♥ 5 Across!,0.183,0.534,0.283,0.3219
Country music stars join forces at concert to raise staggering sum for hurricane victims,0.139,0.727,0.133,-0.0258
Costco puts shoppers on high alert with recall on popular breakfast food,0.0,0.667,0.333,0.6124
'90s fitness icon now delivers food after losing multimillion-dollar empire,0.205,0.63,0.165,-0.128
One of the most competitive states in high-stakes election begins early voting,0.0,0.847,0.153,0.2484
Harris-Walz face uphill battle in separate showdown that's not the election,0.206,0.794,0.0,-0.3818
Pop culture guru makes prediction about Menendez brothers after release,0.0,1.0,0.0,0.0
Harris has yet to do formal press conference since emerging as Dem nominee,0.0,1.0,0.0,0.0
'Conclave' movie director says controversial scenes 'not a takedown of the church',0.153,0.847,0.0,-0.2023
"FOX Corporation launches donation drive for Hurricanes Helene, Milton relief efforts",0.0,0.763,0.237,0.4767
Woman puts her own spin on viral recipe using ingredients you likely already have,0.0,1.0,0.0,0.0
"Test yourself on hit TV shows, sports stars and Halloween",0.0,1.0,0.0,0.0
‘Home Improvement’ actor in hot water for second time this year,0.0,1.0,0.0,0.0
Deputies arrest illegal immigrants allegedly caught looting from hurricane victims,0.542,0.458,0.0,-0.8074
Bill Murray's former home in swanky star-studded enclave hits the market,0.0,1.0,0.0,0.0
"Michigan, Michigan State players brawl after game: 'Lil’ bro stay doing lil’ bro things'",0.0,1.0,0.0,0.0
Zach Bryan backlash over breakup is latest controversy after arrest,0.211,0.789,0.0,-0.34
Trump campaign rips Harris for misleading supporters with Beyoncé: ‘Lied to build crowd’,0.163,0.663,0.175,0.0516
Prince William publicly mentions Prince Harry for first time in recent memory,0.0,1.0,0.0,0.0
"After strikes, Israel warns Iran what will happen if it escalates conflict again",0.383,0.617,0.0,-0.6369
Child-abusing mommy blogger's daughter warns about posting kids' pictures online,0.135,0.865,0.0,-0.1027
Lizzo makes a point with Halloween costume after denying taking weight loss drug,0.32,0.68,0.0,-0.5719
"Mahomes is already ‘No. 2 in the GOAT conversation,’ former NFL star says",0.0,1.0,0.0,0.0
Livvy Dunne reflects on watching Simone Biles in person at Olympics,0.0,1.0,0.0,0.0
Fox News brings Democracy 2024 to the sky with CGI!,0.0,1.0,0.0,0.0
"ANTISEMITISM EXPOSED:Truck ramming attack near Israeli army base leaves 1 dead, dozens injured",0.529,0.471,0.0,-0.8779
FOX Nation Patriot Awards moves to New York with tickets now on sale,0.0,0.8,0.2,0.4588
Another tropical storm could develop in Caribbean Sea after Halloween,0.0,1.0,0.0,0.0
"Meet the American who invented the hard hat, a symbol of our nation's working class",0.097,0.903,0.0,-0.1027
"On this day in history, Teddy Roosevelt is born in New York City",0.0,1.0,0.0,0.0
Shaq’s comments to Angel Reese about her tiny shorts has internet talking,0.0,1.0,0.0,0.0
Facial recognition glasses turn everyday life into creepy privacy nightmare,0.0,1.0,0.0,0.0
"KITCHEN CABINET:Delicious recipes, surprising power foods & juicy secrets to eating better",0.0,0.643,0.357,0.6124
"VACATION MODE:Discover your next getaway, travel hacks & expert recommendations",0.0,1.0,0.0,0.0
"PICTURE OF HEALTH:Doctors on call for you, tips to staying fit & key warning signs",0.142,0.71,0.148,0.0258
FUN FACTS:Bees can fly higher than Mount Everest,0.0,0.634,0.366,0.6166
Fox Nation,0.0,1.0,0.0,0.0
Features & Faces,0.0,1.0,0.0,0.0
Strength in Numbers: Reno Community Unites In Support of Nevada Women's Volleyball | Alejandro Avila,0.0,0.67,0.33,0.7096
Donald Trump Makes Stunning UFO Claim During Joe Rogan Interview: WATCH,0.0,0.794,0.206,0.3818
"Skyler Simpson Is A Cowboys Cheerleader For Halloween, Xandra Pohl Enjoys Fall In Miami & The Grills Are Hot",0.0,0.743,0.257,0.6369
Transgender Golfer Hailey Davidson Fails To Earn LPGA Card But Does Earn Status On Women's Epson Tour,0.106,0.894,0.0,-0.2263
Houston residents react to Kamala Harris' visit to Texas alongside Beyoncé days before Election Day,0.0,1.0,0.0,0.0
Nevada voters reveal their prediction for which presidential candidate will win 'very close race',0.0,0.774,0.226,0.5859
Ex-Aurora resident and forever Dem forced to flee gang violence says she's voting Republican going forward,0.336,0.664,0.0,-0.7964
'She hasn't done anything': Nevada voters frustrated with Biden-Harris border policy as election looms,0.294,0.706,0.0,-0.6124
Philly's firefighters union backs Bob Casey's rival in Senate race,0.118,0.882,0.0,-0.0516
Harris' polling in NYC is lowest in decades for Democratic nominee: NYT poll,0.178,0.822,0.0,-0.3818
What is landlord insurance? How coverage could play into a squatter situation,0.0,0.806,0.194,0.34
"On this day in history, October 26, 1825, Erie Canal opens, transforming American infrastructure, commerce",0.0,1.0,0.0,0.0
Young voter turned off by Harris' 'pandering': Seems like abortion is 'only thing I'm allowed to care about',0.0,0.737,0.263,0.6908
"Trump on track for 'narrow landslide' victory, Kellyanne Conway predicts",0.0,1.0,0.0,0.0
SEAN HANNITY: Democrats have failed Americans,0.398,0.602,0.0,-0.5106
Voters at Atlanta barbershop not sold on VP Harris' economic pitch: 'I don't need a handout',0.0,1.0,0.0,0.0
"Ex-Vatican ambassador, Pope Francis critic calls Harris 'infernal monster'",0.208,0.792,0.0,-0.2732
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,0.0,1.0,0.0,0.0
Dems need to ramp up early voting efforts to match GOP momentum in North Carolina: analyst,0.0,1.0,0.0,0.0
"Presidential election is making most Americans anxious, surveys say: Here are 6 tips to calm down",0.13,0.74,0.131,0.0056
New anti-theft features rolling out on Android 15,0.0,1.0,0.0,0.0
Why you should be using a VPN to safeguard your stock trading activities,0.0,0.809,0.191,0.3818
VIDEO: Texas machete-wielding man's intrusion into home thwarted by gun owner,0.28,0.72,0.0,-0.3612
Facial recognition glasses turn everyday life into creepy privacy nightmare,0.0,1.0,0.0,0.0
"Truck ramming attack near Israeli army base leaves 1 dead, dozens injured; suspect killed",0.677,0.323,0.0,-0.9501
"Fraudsters wheel away huge haul of artisan cheddar worth an eye-popping $400,000",0.205,0.542,0.253,-0.0516
"Israel’s 'Days of Repentance' strikes against Iran will continue if terror regime responds, IDF warns",0.378,0.622,0.0,-0.743
UN secretary-general won’t condemn official accused of antisemitism; US said to grant visa for visit,0.249,0.622,0.13,-0.3182
Doug Emhoff 'reshaped the perception of masculinity'? Let's consult the Torah,0.0,1.0,0.0,0.0
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,0.0,1.0,0.0,0.0
JONATHAN TURLEY: Why I'm congratulating the Washington Post,0.0,1.0,0.0,0.0
Trump isn’t the first president menaced by Derangement Syndrome,0.252,0.748,0.0,-0.4019
"Presidential election is making most Americans anxious, surveys say: Here are 6 tips to calm down",0.13,0.74,0.131,0.0056
‘Should I go to the ER or urgent care?’: Ask a doctor,0.0,0.833,0.167,0.2023
"Dementia risk could be higher for older adults who experience this type of injury, study finds",0.259,0.741,0.0,-0.5994
"After a breast cancer diagnosis, here are 10 important things you should do, experts say",0.242,0.659,0.099,-0.5574
Child-abusing mommy blogger Ruby Franke's daughter warns parents about posting kids' pictures online,0.104,0.896,0.0,-0.1027
Perez Hilton predicts Menendez brothers could see public ‘turn’ on them after prison release,0.202,0.798,0.0,-0.5106
"Fraudsters wheel away huge haul of artisan cheddar worth an eye-popping $400,000",0.205,0.542,0.253,-0.0516
Search underway for man accused of killing his pregnant wife while on parole for murder,0.485,0.515,0.0,-0.9062
"'I'm an author and I'm grateful for democracy, including our First Amendment rights'",0.0,0.8,0.2,0.4588
Visiting the Constitution can remind us that America is all about 'We the People',0.0,1.0,0.0,0.0
"Health, happiness and helping others are vital parts of free and responsible society, Founding Fathers taught",0.0,0.447,0.553,0.9118
"Meet the American who defined a new national identity, Noah Webster, New England patriot armed with the pen",0.0,1.0,0.0,0.0
"On this day in history, October 27, 1858, Teddy Roosevelt, American titan, is born in New York City",0.0,1.0,0.0,0.0
Ex-Trump officials tell Americans to 'heed General Kelly's warning' Trump's a fascist,0.4,0.6,0.0,-0.7184
Pentagon denies false claim that Biden-Harris admin authorized troops to use force against Americans,0.177,0.823,0.0,-0.4215
"On this day in history, October 25, 1944, first kamikaze suicide pilots attack US Navy in World War II",0.418,0.582,0.0,-0.91
Luke Combs and Eric Church raise over $24.5 million for hurricane victims at star-studded Concert for Carolina,0.126,0.874,0.0,-0.3182
Prince William publicly mentions Prince Harry for first time in recent memory while discussing childhood,0.0,1.0,0.0,0.0
"Zach Bryan backlash over breakup is latest controversy after arrest, drunken Taylor Swift comment",0.148,0.741,0.111,-0.1531
Beatle Paul McCartney helped John Lennon win back Yoko Ono after star cheated with another woman: pal,0.149,0.679,0.172,0.128
Texas A&M's Mike Elko has fiery message after major win: 'It’s not a politician running this program',0.119,0.693,0.188,0.34
Spurs' Gregg Popovich rails against Trump in lengthy rant: 'Danger follows the delusion',0.345,0.655,0.0,-0.7003
"Patrick Mahomes is already ‘No. 2 in the GOAT conversation,’ ex-NFL star says",0.0,1.0,0.0,0.0
"Michigan, Michigan State players brawl after game: 'Lil’ bro stay doing lil’ bro things'",0.0,1.0,0.0,0.0
"Hurricane Helene: More than 90 reported dead in North Carolina, 10 unaccounted for",0.264,0.736,0.0,-0.6486
Child-abusing mommy blogger Ruby Franke's daughter warns parents about posting kids' pictures online,0.104,0.896,0.0,-0.1027
Perez Hilton predicts Menendez brothers could see public ‘turn’ on them after prison release,0.202,0.798,0.0,-0.5106
Florida deputies arrest dozens of illegal immigrants allegedly caught looting from Hurricane Milton victims,0.43,0.57,0.0,-0.8074
"'Stay Married Chicken,' indulgent and delicious, has 'definitely worked,' says family-minded creator",0.0,0.61,0.39,0.7506
Restaurant visitors instructed on strict behavior by 21 signs: 'Rules are rules',0.0,1.0,0.0,0.0
Matthew McConaughey always planned to ditch Hollywood for Texas,0.0,1.0,0.0,0.0
DC gears up for presidential inauguration as tourism industry braces for surge in visitors,0.0,1.0,0.0,0.0
Why some Americans will receive an extra Social Security check in November,0.0,0.821,0.179,0.34
Mysterious $7B estate tax payment spurs questions about source of funds,0.0,1.0,0.0,0.0
Harvard fundraising slumps after antisemitism controversy,0.0,1.0,0.0,0.0
"Biden administration forgives $4.5 million in student debt for 60,000 borrowers",0.176,0.634,0.19,0.0516
When a Facebook friend request turns into a hacker’s trap,0.2,0.522,0.278,0.2263
New anti-theft features rolling out on Android 15,0.0,1.0,0.0,0.0
Fox News AI Newsletter: Bureaucrats ordered to use AI,0.0,1.0,0.0,0.0
Why you should be using a VPN to safeguard your stock trading activities,0.0,0.809,0.191,0.3818
'Conclave' director says controversial scenes in movie about papal elections 'not a takedown of the church',0.114,0.886,0.0,-0.2023
Helen Mirren says Kurt Cobain's death is 'so sad' because he 'never saw GPS',0.378,0.622,0.0,-0.807
"Nicole Kidman, Cher, Kim Kardashian turn heads in figure-hugging gowns: PHOTOS",0.0,1.0,0.0,0.0
Liam Neeson confesses he’s ‘madly in love’ with co-star Pamela Anderson,0.0,1.0,0.0,0.0
"Costco issues recall notices for frozen waffles, freeze dried meat over listeria concerns",0.0,0.909,0.091,0.0516
Palatial California billionaire-owned estate hits market for whopping $108M,0.0,1.0,0.0,0.0
Bill Murray's former New York home in swanky star-studded enclave hits the market for $3.69 million,0.0,1.0,0.0,0.0
Union autoworker predicts blue voting bloc will vote for Trump in 'big numbers': 'He's speaking our language',0.0,1.0,0.0,0.0
"Faith leader wants Christians to 'love their Bibles': It is 'true and trustworthy,' he says",0.0,0.55,0.45,0.8689
My father was Sen. Joe Lieberman. His last words are what we need to hear right now,0.0,1.0,0.0,0.0
Bay Area city pays $1.5 million after years-long fight to take down cross,0.178,0.822,0.0,-0.3818
Fox News ‘Antisemitism Exposed’ Newsletter: Israel-US relations crippled by damaging leak,0.388,0.612,0.0,-0.6908
3 ways Kamala Harris promotes chaos with her energy message,0.261,0.423,0.317,-0.0516
"Chicago eliminates migrant-only shelters, 'landing zone'",0.0,1.0,0.0,0.0
"What Michael Jordan is like as a NASCAR boss, according to his star driver",0.0,0.828,0.172,0.3612
You won't believe how far Volvo's new electric semitruck goes on a single charge,0.0,1.0,0.0,0.0
The four 'dreaded' letters on airline boarding passes that travelers say they never want to see,0.075,0.925,0.0,-0.0572
"On this day in history, October 27, 1858, Teddy Roosevelt, American titan, is born in New York City",0.0,1.0,0.0,0.0
What is landlord insurance? How coverage could play into a squatter situation,0.0,0.806,0.194,0.34
American Airlines cracks down against 'gate lice' as airport passengers skip lines amid boarding process,0.0,1.0,0.0,0.0
Luke Combs and Eric Church raise over $24.5 million for hurricane victims at star-studded Concert for Carolina,0.126,0.874,0.0,-0.3182
"Zach Bryan backlash over breakup is latest controversy after arrest, drunken Taylor Swift comment",0.148,0.741,0.111,-0.1531
Beatle Paul McCartney helped John Lennon win back Yoko Ono after star cheated with another woman: pal,0.149,0.679,0.172,0.128
Lizzo wears Ozempic-themed Halloween costume inspired by 'South Park' parody after slamming allegations,0.0,0.789,0.211,0.4939
"'Stay Married Chicken,' indulgent and delicious, has 'definitely worked,' says family-minded creator",0.0,0.61,0.39,0.7506
5 peculiar pizza toppings that are common around the world,0.0,0.833,0.167,0.1531
Jimmy John's announces 'Picklewich' — here's how people responded,0.0,1.0,0.0,0.0
Ghost in a restaurant? Man says coffee shop haunted by Civil War soldier,0.508,0.492,0.0,-0.8519
Another tropical storm could develop in Caribbean Sea after Halloween as hurricane season nears final month,0.0,1.0,0.0,0.0
Northeast wildfire threat shifts to New England on Sunday,0.298,0.702,0.0,-0.5267
Beloved 'Rainbow Bridge' honoring lost pets in North Carolina washed away by Helene,0.122,0.529,0.349,0.6486
Volcanic ash from Mexican volcano spotted over Florida,0.0,1.0,0.0,0.0
"One Nation with Brian Kilmeade - Saturday, October 26",0.0,1.0,0.0,0.0
"Life, Liberty & Levin - Saturday, October 26",0.0,0.595,0.405,0.5267
"The Big Weekend Show - Saturday, October 26",0.0,1.0,0.0,0.0
"The Journal Editorial Report - Saturday, October 26",0.0,1.0,0.0,0.0
Search underway for man accused of killing his pregnant wife while on parole for murder,0.485,0.515,0.0,-0.9062
At least 126 dead and missing in massive flooding and landslides in Philippines,0.371,0.629,0.0,-0.7579
"A man who abused up to 3,500 girls online has been sentenced for crimes including manslaughter",0.253,0.747,0.0,-0.5267
More than 40 dogs killed in fire at rescue group’s kennels in New York,0.325,0.519,0.156,-0.5574
Michelle Obama accuses critics of 'picking apart' Harris' interview answers to distract from Trump's faults,0.474,0.526,0.0,-0.836
Trump-Vance ticket has done combined 96 interviews since August compared to 57 for Harris-Walz,0.0,1.0,0.0,0.0
98 days: Kamala Harris has yet to do formal press conference since emerging as Democratic nominee,0.0,1.0,0.0,0.0
'Conclave' director says controversial scenes in movie about papal elections 'not a takedown of the church',0.114,0.886,0.0,-0.2023
UN secretary-general won’t condemn official accused of antisemitism; US said to grant visa for visit,0.249,0.622,0.13,-0.3182
Israeli woman bravely describes horror as Hamas hostage: 'They were taking pleasure in hurting me',0.262,0.451,0.287,0.1531
"Anti-Israel protesters take over University of Minnesota admin building, 11 arrested",0.357,0.643,0.0,-0.6124
Jewish-American group urges US citizens in Israel to vote as absentee ballots can impact swing states,0.123,0.877,0.0,-0.2732
Florida deputies arrest dozens of illegal immigrants allegedly caught looting from Hurricane Milton victims,0.43,0.57,0.0,-0.8074
Harris' polling in NYC is lowest in decades for Democratic nominee: NYT poll,0.178,0.822,0.0,-0.3818
VICTOR DAVIS HANSON: 10 alarming signs we are in the middle of a cultural revolution,0.103,0.897,0.0,-0.128
Texas Gov. Greg Abbott challenges Kamala Harris to declare Tren de Aragua a terrorist organization,0.261,0.667,0.072,-0.6597
"Lisa Bevere: Fighting for Women’s Divine Right, Calling Out the Evil of Gender Ideology",0.321,0.512,0.167,-0.5106
From Washington: The Battle For Control Of The House,0.245,0.755,0.0,-0.3818
Fox Sports Update – Yankees Kept From Bombing,0.0,1.0,0.0,0.0
Extra: Is The American Dream Dead? Mr. Wonderful Weighs In.,0.253,0.412,0.335,0.1027
